TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,HS_DEPLOYED,PC_DEPLOYED,MAST_RAISED,TEMPERATURE,VOLTAGE,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,TILT_X,TILT_Y,CMD_ECHO,T+ Time,Acceleration
1032,13:18:34,1,F,LAUNCH_WAIT,70,N,N,N,12,35,13:18:34,10,12,26,12,4,70,CXON,0,45
1032,13:18:35,2,F,LAUNCH_WAIT,26,N,N,N,9,62,13:18:35,79,9,21,9,60,26,CXON,1,26
1032,13:18:36,3,F,LAUNCH_WAIT,23,N,N,N,30,75,13:18:36,12,30,60,30,68,23,CXON,2,2
1032,13:18:37,4,F,LAUNCH_WAIT,1,N,N,N,50,49,13:18:37,79,50,59,50,44,1,CXON,3,93
1032,13:18:38,5,F,LAUNCH_WAIT,14,N,N,N,4,73,13:18:38,100,4,12,4,2,14,CXON,4,91
1032,13:18:39,6,F,LAUNCH_WAIT,51,N,N,N,77,40,13:18:39,91,77,63,77,14,51,CXON,5,45
1032,13:18:40,7,F,LAUNCH_WAIT,40,N,N,N,25,65,13:18:40,44,25,20,25,58,40,CXON,6,28
1032,13:18:41,8,F,LAUNCH_WAIT,63,N,N,N,26,75,13:18:41,59,26,71,26,19,63,CXON,7,20
1032,13:18:42,9,F,LAUNCH_WAIT,31,N,N,N,92,58,13:18:42,25,92,49,92,17,31,CXON,8,77
1032,13:18:43,10,F,LAUNCH_WAIT,40,N,N,N,93,4,13:18:43,44,93,83,93,82,40,CXON,9,56
1032,13:18:44,11,F,LAUNCH_WAIT,19,N,N,N,48,7,13:18:44,37,48,12,48,30,19,CXON,10,63
1032,13:18:45,12,F,LAUNCH_WAIT,10,N,N,N,100,35,13:18:45,19,100,34,100,51,10,CXON,11,50
1032,13:18:46,13,F,LAUNCH_WAIT,16,N,N,N,20,67,13:18:46,40,20,90,20,58,16,CXON,12,100
1032,13:18:47,14,F,LAUNCH_WAIT,88,N,N,N,83,34,13:18:47,33,83,33,83,70,88,CXON,13,67
1032,13:18:48,15,F,LAUNCH_WAIT,90,N,N,N,88,55,13:18:48,24,88,57,88,17,90,CXON,14,25
1032,13:18:49,16,F,LAUNCH_WAIT,58,N,N,N,21,60,13:18:49,52,21,10,21,10,58,CXON,15,20
1032,13:18:50,17,F,LAUNCH_WAIT,18,N,N,N,57,69,13:18:50,72,57,94,57,64,18,CXON,16,16
1032,13:18:51,18,F,LAUNCH_WAIT,89,N,N,N,89,43,13:18:51,21,89,72,89,43,89,CXON,17,21
1032,13:18:52,19,F,LAUNCH_WAIT,53,N,N,N,63,87,13:18:52,99,63,32,63,88,53,CXON,18,27
1032,13:18:53,20,F,LAUNCH_WAIT,23,N,N,N,8,94,13:18:53,58,8,14,8,64,23,CXON,19,75
1032,13:18:54,21,F,LAUNCH_WAIT,62,N,N,N,81,77,13:18:54,14,81,57,81,34,62,CXON,20,69
1032,13:18:55,22,F,LAUNCH_WAIT,87,N,N,N,14,71,13:18:55,71,14,41,14,97,87,CXON,21,20
1032,13:18:56,23,F,LAUNCH_WAIT,84,N,N,N,28,73,13:18:56,54,28,57,28,61,84,CXON,22,48
1032,13:18:57,24,F,LAUNCH_WAIT,54,N,N,N,60,76,13:18:57,17,60,83,60,20,54,CXON,23,85
1032,13:18:58,25,F,LAUNCH_WAIT,4,N,N,N,87,12,13:18:58,31,87,13,87,47,4,CXON,24,95
1032,13:18:59,26,F,LAUNCH_WAIT,39,N,N,N,75,72,13:18:59,44,75,40,75,61,39,CXON,25,77
1032,13:19:00,27,F,LAUNCH_WAIT,2,N,N,N,10,43,13:19:00,92,10,14,10,83,2,CXON,26,69
1032,13:19:01,28,F,LAUNCH_WAIT,38,N,N,N,72,60,13:19:01,30,72,72,72,19,38,CXON,27,34
