TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,HS_DEPLOYED,PC_DEPLOYED,MAST_RAISED,TEMPERATURE,VOLTAGE,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,TILT_X,TILT_Y,CMD_ECHO,T+ Time
1032,19:18:54,1,F,LAUNCH_WAIT,9,N,N,N,1,77,19:18:54,37,1,35,1,91,9,CXON,0
1032,19:18:55,24,F,LAUNCH_WAIT,60,N,N,N,96,68,19:18:55,24,96,50,96,3,60,CXON,23
1032,19:18:55,2,F,LAUNCH_WAIT,46,N,N,N,27,2,19:18:55,73,27,97,27,46,46,CXON,1
1032,19:18:56,25,F,LAUNCH_WAIT,7,N,N,N,19,34,19:18:56,71,19,74,19,71,7,CXON,24
1032,19:18:56,3,F,LAUNCH_WAIT,43,N,N,N,86,12,19:18:56,59,86,43,86,77,43,CXON,2
1032,19:18:57,26,F,LAUNCH_WAIT,57,N,N,N,62,19,19:18:57,51,62,98,62,99,57,CXON,25
1032,19:18:57,4,F,LAUNCH_WAIT,62,N,N,N,59,97,19:18:57,61,59,48,59,4,62,CXON,3
1032,19:18:58,27,F,LAUNCH_WAIT,23,N,N,N,75,70,19:18:58,17,75,83,75,8,23,CXON,26
1032,19:18:58,5,F,LAUNCH_WAIT,25,N,N,N,81,22,19:18:58,74,81,36,81,41,25,CXON,4
1032,19:18:59,28,F,LAUNCH_WAIT,28,N,N,N,40,35,19:18:59,75,40,36,40,15,28,CXON,27
1032,19:18:59,6,F,LAUNCH_WAIT,23,N,N,N,53,12,19:18:59,33,53,7,53,78,23,CXON,5
1032,19:19:00,29,F,LAUNCH_WAIT,32,N,N,N,6,81,19:19:00,32,6,18,6,65,32,CXON,28
1032,19:19:00,7,F,LAUNCH_WAIT,93,N,N,N,9,54,19:19:00,85,9,76,9,100,93,CXON,6
1032,19:19:01,30,F,LAUNCH_WAIT,9,N,N,N,17,30,19:19:01,84,17,22,17,34,9,CXON,29
1032,19:19:01,8,F,LAUNCH_WAIT,80,N,N,N,26,87,19:19:01,1,26,20,26,81,80,CXON,7
1032,19:19:02,31,F,LAUNCH_WAIT,54,N,N,N,65,39,19:19:02,6,65,57,65,41,54,CXON,30
1032,19:19:02,9,F,LAUNCH_WAIT,4,N,N,N,44,8,19:19:02,41,44,99,44,97,4,CXON,8
1032,19:19:03,32,F,LAUNCH_WAIT,7,N,N,N,55,51,19:19:03,49,55,27,55,64,7,CXON,31
1032,19:19:03,10,F,LAUNCH_WAIT,85,N,N,N,91,24,19:19:03,30,91,65,91,81,85,CXON,9
1032,19:19:04,33,F,LAUNCH_WAIT,12,N,N,N,74,17,19:19:04,30,74,97,74,13,12,CXON,32
1032,19:19:04,11,F,LAUNCH_WAIT,58,N,N,N,95,55,19:19:04,11,95,65,95,51,58,CXON,10
1032,19:19:05,34,F,LAUNCH_WAIT,48,N,N,N,93,26,19:19:05,71,93,72,93,84,48,CXON,33
1032,19:19:05,12,F,LAUNCH_WAIT,13,N,N,N,71,28,19:19:05,43,71,67,71,93,13,CXON,11
1032,19:19:06,35,F,LAUNCH_WAIT,8,N,N,N,8,81,19:19:06,85,8,21,8,28,8,CXON,34
1032,19:19:06,13,F,LAUNCH_WAIT,3,N,N,N,74,21,19:19:06,41,74,59,74,3,3,CXON,12
1032,19:19:07,36,F,LAUNCH_WAIT,92,N,N,N,24,76,19:19:07,39,24,43,24,56,92,CXON,35
1032,19:19:07,14,F,LAUNCH_WAIT,50,N,N,N,87,84,19:19:07,34,87,70,87,77,50,CXON,13
1032,19:19:08,37,F,LAUNCH_WAIT,77,N,N,N,93,40,19:19:08,100,93,62,93,62,77,CXON,36
1032,19:19:08,15,F,LAUNCH_WAIT,12,N,N,N,51,61,19:19:08,62,51,54,51,62,12,CXON,14
1032,19:19:09,38,F,LAUNCH_WAIT,86,N,N,N,63,31,19:19:09,11,63,55,63,91,86,CXON,37
1032,19:19:09,16,F,LAUNCH_WAIT,65,N,N,N,26,51,19:19:09,8,26,64,26,92,65,CXON,15
